RSSI,PDR,Scenario
-63.75,0.022150085,2
-63.79,0.021147715,2
-63.83,0.019868484,2
-63.88,0.018652665,2
-63.94,0.01721871,2
-64.01,0.015618215,2
-64.06,0.014142058,2
-64.11,0.012783128,2
-64.16,0.011735217,2
-64.19,0.010949383,2
-64.22,0.01020808,2
-64.24,0.009853523,2
-64.25,0.009341141,2
-64.26,0.009175418,2
-64.26,0.009012182,2
-64.26,0.009012182,2
-64.27,0.009012182,2
-64.27,0.009012182,2
-64.27,0.008851404,2
-64.27,0.009012182,2
-64.27,0.008851404,2
-64.27,0.008851404,2
-64.28,0.008851404,2
-64.28,0.008851404,2
-64.28,0.008851404,2
-64.28,0.008851404,2
-64.28,0.008693056,2
-64.28,0.008693056,2
-64.28,0.008693056,2
-64.28,0.008851404,2
-64.28,0.008851404,2
-64.27,0.008851404,2
-64.27,0.008851404,2
-64.27,0.008851404,2
-64.28,0.008851404,2
-64.28,0.008851404,2
-64.28,0.008851404,2
-64.28,0.008851404,2
-64.28,0.008851404,2
-64.28,0.008851404,2
-64.28,0.008851404,2
-64.28,0.008693056,2
-64.28,0.008693056,2
-64.28,0.008693056,2
-64.27,0.008851404,2
-64.26,0.008851404,2
-64.25,0.009012182,2
-64.24,0.009175418,2
-64.23,0.009341141,2
-64.23,0.009509381,2
-64.22,0.009680165,2
-64.21,0.009680165,2
-64.21,0.009853523,2
-64.2,0.010029485,2
-64.2,0.010029485,2
-64.19,0.01020808,2
-64.18,0.01020808,2
-64.18,0.010389337,2
-64.16,0.010573287,2
-64.14,0.010759959,2
-64.12,0.011141591,2
-64.09,0.011534477,2
-64.06,0.012145445,2
-64.02,0.012783128,2
-63.99,0.013676403,2
-63.95,0.014620737,2
-63.91,0.015363748,2
-63.88,0.01640247,2
-63.85,0.01721871,2
-63.82,0.018067846,2
-63.79,0.018950796,2
-63.76,0.019868484,2
-63.73,0.020821841,2
-63.69,0.022150085,2
-63.65,0.023545629,2
-63.6,0.025010708,2
-63.56,0.026547563,2
-63.52,0.028158432,2
-63.48,0.029845552,2
-63.42,0.032065069,2
-63.36,0.034411524,2
-63.3,0.037917937,2
-63.26,0.040586348,2
-63.21,0.043395937,2
-63.16,0.045747948,2
-63.1,0.04882166,2
-63.03,0.053381169,2
-62.97,0.05753407,2
-62.9,0.062672911,2
-62.82,0.068136385,2
-62.74,0.073932401,2
-62.66,0.080972631,2
-62.57,0.088465463,2
-62.47,0.09744502,2
-62.37,0.108114378,2
-62.26,0.11951812,2
-62.15,0.132911847,2
-62.05,0.147190251,2
-61.94,0.160927529,2
-61.82,0.178341495,2
-61.69,0.196734647,2
-61.55,0.216060533,2
-61.42,0.239710722,2
-61.29,0.26264816,2
-61.18,0.286428384,2
-61.08,0.307130985,2
-60.98,0.328294303,2
-60.88,0.345902947,2
-60.77,0.365725487,2
-60.67,0.389793834,2
-60.58,0.407991324,2
-60.5,0.426268382,2
-60.42,0.442548396,2
-60.36,0.458830644,2
-60.3,0.471027037,2
-60.22,0.485222617,2
-60.15,0.499365074,2
-60.09,0.513437033,2
-60.04,0.52742167,2
-59.99,0.537348218,2
-59.96,0.545247559,2
-59.93,0.551145751,2
-59.91,0.557020082,2
-59.89,0.560922478,2
-59.87,0.566754498,2
-59.86,0.568692586,2
-59.85,0.570627648,2
-59.85,0.572559643,2
-59.86,0.572559643,2
-59.87,0.570627648,2
-59.89,0.568692586,2
-59.91,0.564813423,2
-59.94,0.560922478,2
-59.97,0.555064695,2
-60.0,0.549182281,2
-60.04,0.543276395,2
-60.09,0.535367413,2
-60.13,0.52742167,2
-60.18,0.517442276,2
-60.23,0.507415918,2
-60.28,0.497348639,2
-60.33,0.487246631,2
-60.39,0.477116226,2
-60.45,0.464931365,2
-60.51,0.452726318,2
-60.57,0.440512696,2
-60.63,0.428302297,2
-60.7,0.416107078,2
-60.76,0.401914623,2
-60.83,0.389793834,2
-60.9,0.375721604,2
-60.96,0.363732545,2
-61.03,0.34984741,2
-61.1,0.336090507,2
-61.17,0.3224808,2
-61.24,0.309036931,2
-61.31,0.295777131,2
-61.39,0.282719131,2
-61.46,0.269880082,2
-61.53,0.255496095,2
-61.6,0.243180763,2
-61.68,0.231133566,2
-61.75,0.219368383,2
-61.82,0.20789812,2
-61.89,0.195165552,2
-61.96,0.184365833,2
-62.04,0.173894614,2
-62.11,0.163760194,2
-62.18,0.15259944,2
-62.25,0.143209007,2
-62.33,0.134173467,2
-62.4,0.125495988,2
-62.47,0.116019713,2
-62.54,0.108114378,2
-62.62,0.100568994,2
-62.69,0.093381674,2
-62.76,0.08654939,2
-62.83,0.079170468,2
-62.91,0.073083762,2
-62.98,0.067335705,2
-63.05,0.06191911,2
-63.12,0.056124259,2
-63.19,0.051389949,2
-63.26,0.046959422,2
-63.33,0.042822531,2
-63.4,0.03896862,2
-63.47,0.035386608,2
-63.54,0.032065069,2
-63.61,0.028992322,2
-63.68,0.026156498,2
-63.75,0.023545629,2
-63.82,0.021147715,2
-63.89,0.018950796,2
